geneSet,description,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId,cancer,logFDR
R-HSA-388841,Costimulation by the CD28 family,67,14,2.105895049,6.648004612,1.38E-08,7.38E-06,1493;2534;29851;3932;5133;5295;5525;5527;55615;7525;915;916;917;919,CD3D;CD247;FYN;CD3E;CD3G;LCK;PDCD1;CTLA4;PPP2R5C;ICOS;PPP2R5A;YES1;PIK3R1;PRR5,Melanoma,5.132190362
R-HSA-2424491,DAP12 signaling,29,9,0.911506812,9.873760545,1.48E-07,5.93E-05,22914;2534;27040;3822;3824;3932;3937;5295;5335,KLRD1;KLRK1;FYN;LCK;KLRC2;LAT;LCP2;PLCG1;PIK3R1,Melanoma,4.226791599
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,17,7,0.53433158,13.10047968,4.12E-07,0.000131634,26191;3932;7535;915;916;917;919,CD3D;CD247;CD3E;CD3G;LCK;ZAP70;PTPN22,Melanoma,3.880631719
R-HSA-2172127,DAP12 interactions,38,9,1.194388237,7.53523831,1.89E-06,0.000490217,22914;2534;27040;3822;3824;3932;3937;5295;5335,KLRD1;KLRK1;FYN;LCK;KLRC2;LAT;LCP2;PLCG1;PIK3R1,Melanoma,3.309611376
R-HSA-202403,TCR signaling,113,15,3.551733441,4.223289908,2.15E-06,0.000490217,26191;27040;3702;3932;3937;50852;51466;5295;5335;5588;7535;915;916;917;919,CD3D;CD247;CD3E;CD3G;LCK;EVL;ZAP70;ITK;LAT;PRKCQ;PTPN22;TRAT1;LCP2;PLCG1;PIK3R1,Melanoma,3.309611376
R-HSA-5669034,TNFs bind their physiological receptors,29,7,0.911506812,7.679591535,2.39E-05,0.00429757,128178;356;3604;7292;8744;8784;939,TNFRSF9;FASLG;CD27;TNFRSF18;TNFSF4;TNFSF9;EDARADD,Melanoma,2.36677709
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,20,6,0.628625388,9.544635193,2.42E-05,0.00429757,26191;3932;915;916;917;919,CD3D;CD247;CD3E;CD3G;LCK;PTPN22,Melanoma,2.36677709
R-HSA-389513,CTLA4 inhibitory signaling,21,6,0.660056657,9.090128755,3.30E-05,0.004794201,1493;2534;3932;5525;5527;7525,FYN;LCK;CTLA4;PPP2R5C;PPP2R5A;YES1,Melanoma,2.319283761
R-HSA-389948,PD-1 signaling,21,6,0.660056657,9.090128755,3.30E-05,0.004794201,3932;5133;915;916;917;919,CD3D;CD247;CD3E;CD3G;LCK;PDCD1,Melanoma,2.319283761
R-HSA-380108,Chemokine receptors bind chemokines,42,8,1.320113314,6.060085837,3.95E-05,0.005266557,10563;10663;1234;3577;3579;6352;6375;6846,CCL5;CXCR6;XCL2;CXCL13;CCR5;XCL1;CXCR2;CXCR1,Melanoma,2.278473183
R-HSA-2871809,FCERI mediated Ca+2 mobilization,32,7,1.005800621,6.959629828,4.76E-05,0.005852328,27040;3702;3937;4773;4775;5335;7294,TXK;NFATC2;ITK;LAT;NFATC3;LCP2;PLCG1,Melanoma,2.232671323
R-HSA-5683057,MAPK family signaling cascades,273,21,8.580736544,2.447342357,0.00012663,0.014453947,10125;1741;1844;1846;2064;2534;27040;3560;3561;3718;4684;5159;5525;5527;5567;5786;5922;6709;80824;896;989,IL2RB;DUSP2;FYN;IL2RG;DUSP4;RASGRP1;NCAM1;LAT;PPP2R5C;DUSP16;DLG3;PPP2R5A;PRKACB;CCND3;ERBB2;SPTAN1;SEPT7;RASA2;PTPRA;PDGFRB;JAK3,Melanoma,1.840013539
R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),10,4,0.314312694,12.72618026,0.000172066,0.018330721,1493;3458;4773;8784,IFNG;CTLA4;TNFRSF18;NFATC2,Melanoma,1.736820451
R-HSA-5673001,RAF/MAP kinase cascade,233,18,7.323485768,2.457845972,0.000368338,0.032455888,10125;1741;1844;1846;2064;2534;27040;3560;3561;3718;4684;5159;5525;5527;5786;5922;6709;80824,IL2RB;DUSP2;FYN;IL2RG;DUSP4;RASGRP1;NCAM1;LAT;PPP2R5C;DUSP16;DLG3;PPP2R5A;ERBB2;SPTAN1;RASA2;PTPRA;PDGFRB;JAK3,Melanoma,1.488706499
R-HSA-9020558,Interleukin-2 signaling,12,4,0.377175233,10.60515021,0.000385896,0.032455888,3560;3561;3718;3932,IL2RB;LCK;IL2RG;JAK3,Melanoma,1.488706499
R-HSA-2029481,FCGR activation,12,4,0.377175233,10.60515021,0.000385896,0.032455888,2534;7525;917;919,CD247;FYN;CD3G;YES1,Melanoma,1.488706499
R-HSA-210990,PECAM1 interactions,12,4,0.377175233,10.60515021,0.000385896,0.032455888,2534;3932;5335;7525,FYN;LCK;YES1;PLCG1,Melanoma,1.488706499
R-HSA-449147,Signaling by Interleukins,430,27,13.51544584,1.997714343,0.000417953,0.033394427,10538;1234;1435;1846;2534;2625;3458;356;3560;3561;3718;388372;3932;5295;5775;5778;59307;6095;6348;6351;6352;6775;6844;7412;7525;8807;9235,CCL5;CCL4;CCL3;IL2RB;IL32;IFNG;FYN;FASLG;LCK;VCAM1;CCL4L1;PTPN4;IL2RG;DUSP4;IL18RAP;CSF1;PTPN7;CCR5;BATF;GATA3;STAT4;SIGIRR;YES1;PIK3R1;VAMP2;RORA;JAK3,Melanoma,1.47632601
R-HSA-5684996,MAPK1/MAPK3 signaling,239,18,7.512073385,2.396142726,0.000500629,0.038095513,10125;1741;1844;1846;2064;2534;27040;3560;3561;3718;4684;5159;5525;5527;5786;5922;6709;80824,IL2RB;DUSP2;FYN;IL2RG;DUSP4;RASGRP1;NCAM1;LAT;PPP2R5C;DUSP16;DLG3;PPP2R5A;ERBB2;SPTAN1;RASA2;PTPRA;PDGFRB;JAK3,Melanoma,1.419126177
R-HSA-114508,Effects of PIP2 hydrolysis,23,5,0.722919196,6.916402314,0.000621798,0.045165123,10125;160851;5583;5588;8525,PRKCH;RASGRP1;PRKCQ;DGKH;DGKZ,Melanoma,1.345196799
R-HSA-449147,Signaling by Interleukins,430,57,18.27195467,3.119534884,3.55E-15,5.68E-12,1026;11213;1326;1436;1438;23529;2357;240;2885;2920;3055;3091;3312;3383;3552;3553;3556;3557;3586;3587;3606;3656;3687;3688;3689;375;4067;414062;4170;4282;4790;4791;4792;4793;5008;5604;5606;5687;5699;57162;5743;5898;5908;5970;6348;6351;6364;6648;6810;7124;7133;7335;7422;7534;8767;8878;942,IL1A;CCL20;ICAM1;TNF;CCL3L3;CDKN1A;IL1B;PSMA6;UBE2V1;RIPK2;MAP3K8;IRAK2;OSM;FPR1;NFKB2;IL1RN;CCL3;MAP2K3;SQSTM1;HIF1A;CCL4;RAP1B;CD86;NFKB1;MIF;ALOX5;YWHAZ;CXCL2;VEGFA;IL10;SOD2;ARF1;MAP2K1;NFKBIA;IRAK3;CSF1R;IL18;PELI1;LYN;ITGAX;RELA;RALA;HSPA8;PSMB10;PTGS2;GRB2;CLCF1;IL1RAP;IL10RA;ITGB2;CSF2RA;TNFRSF1B;MCL1;ITGB1;HCK;NFKBIB;STX4,OvarianCancer,11.24586302
R-HSA-6798695,Neutrophil degranulation,368,51,15.63739377,3.261413043,2.11E-14,1.69E-11,10043;11031;126014;140885;1604;1654;1992;2204;2212;2357;23601;240;2548;2683;2717;2821;290;3074;3303;3312;3687;3689;3903;3916;4125;4282;4790;4831;4860;4973;5211;5223;5265;527;5329;5476;54918;5878;5879;5908;7097;7130;7133;719;728;7415;8560;8804;960;963;965,ATP6V0C;MAN2B1;NME2;FCAR;PNP;OLR1;C5AR1;FPR1;PLAUR;RAP1B;GPI;RAB31;NFKB1;MIF;ALOX5;SERPINB1;CD58;TOM1;FCGR2A;LAMP1;LAIR1;RAC1;TNFAIP6;ANPEP;CTSA;CD55;PGAM1;ITGAX;HSPA8;CD53;B4GALT1;VCP;TLR2;GAA;CREG1;HEXB;ITGB2;DDX3X;CMTM6;GLA;SERPINA1;CLEC5A;C3AR1;RAB5C;OSCAR;HSPA1A;SIRPA;TNFRSF1B;DEGS1;PFKL;CD44,OvarianCancer,10.77328939
R-HSA-6783783,Interleukin-10 signaling,46,17,1.954674221,8.697101449,1.79E-12,9.53E-10,2357;2920;3383;3552;3553;3557;3586;3587;3606;414062;5743;6348;6351;6364;7124;7133;942,IL1A;CCL20;ICAM1;TNF;CCL3L3;IL1B;FPR1;IL1RN;CCL3;CCL4;CD86;CXCL2;IL10;IL18;PTGS2;IL10RA;TNFRSF1B,OvarianCancer,9.020715333
R-HSA-9020702,Interleukin-1 signaling,100,19,4.249291785,4.471333333,2.91E-08,1.16E-05,11213;1326;3552;3553;3556;3557;3656;4790;4791;4792;4793;5604;5687;5699;57162;5970;7335;8767;8878,IL1A;IL1B;PSMA6;UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;IL1RN;SQSTM1;NFKB1;MAP2K1;NFKBIA;IRAK3;PELI1;RELA;PSMB10;IL1RAP;NFKBIB,OvarianCancer,4.934228429
R-HSA-448706,Interleukin-1 processing,7,6,0.297450425,20.17142857,3.80E-08,1.21E-05,3552;3553;3606;4790;4791;5970,IL1A;IL1B;NFKB2;NFKB1;IL18;RELA,OvarianCancer,4.916132785
R-HSA-446652,Interleukin-1 family signaling,130,21,5.52407932,3.801538462,1.04E-07,2.78E-05,11213;1326;240;3552;3553;3556;3557;3606;3656;4790;4791;4792;4793;5604;5687;5699;57162;5970;7335;8767;8878,IL1A;IL1B;PSMA6;UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;IL1RN;SQSTM1;NFKB1;ALOX5;MAP2K1;NFKBIA;IRAK3;IL18;PELI1;RELA;PSMB10;IL1RAP;NFKBIB,OvarianCancer,4.55660456
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,104,18,4.419263456,4.073076923,3.00E-07,6.48E-05,1026;240;3091;3312;3383;3552;3553;3586;3606;3687;3688;3689;4170;5008;5743;7124;7133;7422,IL1A;ICAM1;TNF;CDKN1A;IL1B;OSM;HIF1A;ALOX5;VEGFA;IL10;IL18;ITGAX;HSPA8;PTGS2;ITGB2;TNFRSF1B;MCL1;ITGB1,OvarianCancer,4.188325581
R-HSA-202733,Cell surface interactions at the vascular wall,127,20,5.396600567,3.706036745,3.24E-07,6.48E-05,140885;2885;3687;3688;3689;4067;4267;4282;483;4973;54210;6383;6385;6520;7056;8140;8795;9123;960;965,TREM1;SLC7A5;OLR1;SLC16A3;SDC4;MIF;CD58;THBD;SLC3A2;LYN;ITGAX;GRB2;SDC2;TNFRSF10B;ITGB2;ATP1B3;SIRPA;ITGB1;CD99;CD44,OvarianCancer,4.188325581
R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,127,18,5.396600567,3.335433071,6.03E-06,0.001071086,11213;1326;148022;3656;3665;3689;4790;4791;4792;4793;5604;5606;57162;5970;7097;7323;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;IRF7;MAP2K1;NFKBIA;IRAK3;PELI1;RELA;TICAM1;TLR2;ITGB2;NFKBIB;UBE2D3,OvarianCancer,2.970175728
R-HSA-76002,"Platelet activation, signaling and aggregation",236,25,10.02832861,2.492937853,2.06E-05,0.003290652,10672;23533;2769;2783;2787;2790;2885;308;3309;3937;4067;409;5265;5341;5770;5879;5908;6810;7057;7422;7534;801;8407;928;9948,GNG10;LCP2;RAP1B;YWHAZ;HSPA5;PTPN1;VEGFA;TAGLN2;PLEK;RAC1;ARRB2;CD9;THBS1;GNB2;LYN;GRB2;GNA15;WDR1;CALM1;SERPINA1;PIK3R5;GNG5;ANXA5;STX4;GNA13,OvarianCancer,2.482718049
R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,94,14,3.994334278,3.504964539,3.76E-05,0.00438176,1326;148022;3656;3665;4790;4791;4792;4793;5604;5606;57162;5970;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;IRF7;MAP2K1;NFKBIA;PELI1;RELA;TICAM1;NFKBIB,OvarianCancer,2.358351442
R-HSA-975155,MyD88 dependent cascade initiated on endosome,94,14,3.994334278,3.504964539,3.76E-05,0.00438176,1326;148022;3656;3665;4790;4791;4792;4793;5604;5606;57162;5970;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;IRF7;MAP2K1;NFKBIA;PELI1;RELA;TICAM1;NFKBIB,OvarianCancer,2.358351442
R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,95,14,4.036827195,3.468070175,4.24E-05,0.00438176,11213;1326;3656;4790;4791;4792;4793;5604;5606;57162;5970;7097;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;MAP2K1;NFKBIA;IRAK3;PELI1;RELA;TLR2;NFKBIB,OvarianCancer,2.358351442
R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,95,14,4.036827195,3.468070175,4.24E-05,0.00438176,11213;1326;3656;4790;4791;4792;4793;5604;5606;57162;5970;7097;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;MAP2K1;NFKBIA;IRAK3;PELI1;RELA;TLR2;NFKBIB,OvarianCancer,2.358351442
R-HSA-168898,Toll-like Receptor Cascades,147,18,6.246458924,2.881632653,4.63E-05,0.00438176,11213;1326;148022;3656;3665;3689;4790;4791;4792;4793;5604;5606;57162;5970;7097;7323;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;IRF7;MAP2K1;NFKBIA;IRAK3;PELI1;RELA;TICAM1;TLR2;ITGB2;NFKBIB;UBE2D3,OvarianCancer,2.358351442
R-HSA-1810476,RIP-mediated NFkB activation via ZBP1,17,6,0.722379603,8.305882353,4.67E-05,0.00438176,148022;4790;4791;4792;4793;5970,NFKB2;NFKB1;NFKBIA;RELA;TICAM1;NFKBIB,OvarianCancer,2.358351442
R-HSA-445989,TAK1 activates NFkB by phosphorylation and activation of IKKs complex,33,8,1.402266289,5.705050505,5.32E-05,0.00438176,3656;4790;4791;4792;4793;5970;7335;8767,UBE2V1;RIPK2;IRAK2;NFKB2;NFKB1;NFKBIA;RELA;NFKBIB,OvarianCancer,2.358351442
R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,97,14,4.121813031,3.396563574,5.37E-05,0.00438176,1326;148022;3656;3665;4790;4791;4792;4793;5604;5606;57162;5970;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;IRF7;MAP2K1;NFKBIA;PELI1;RELA;TICAM1;NFKBIB,OvarianCancer,2.358351442
R-HSA-71387,Metabolism of carbohydrates,177,20,7.521246459,2.65913371,5.67E-05,0.00438176,2203;2548;2683;2821;3073;3074;4125;4928;5209;5211;5223;5226;5230;5903;6383;6385;7167;801;9060;960,MAN2B1;SDC4;PFKFB3;GPI;PAPSS2;PGK1;FBP1;PGAM1;PGD;B4GALT1;NUP98;SDC2;GAA;HEXB;CALM1;RANBP2;TPI1;PFKL;HEXA;CD44,OvarianCancer,2.358351442
R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,98,14,4.164305949,3.361904762,6.03E-05,0.00438176,1326;148022;3656;3665;4790;4791;4792;4793;5604;5606;5970;7323;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;IRF7;MAP2K1;NFKBIA;RELA;TICAM1;NFKBIB;UBE2D3,OvarianCancer,2.358351442
R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,98,14,4.164305949,3.361904762,6.03E-05,0.00438176,11213;1326;3656;4790;4791;4792;4793;5604;5606;57162;5970;7097;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;MAP2K1;NFKBIA;IRAK3;PELI1;RELA;TLR2;NFKBIB,OvarianCancer,2.358351442
R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,98,14,4.164305949,3.361904762,6.03E-05,0.00438176,11213;1326;3656;4790;4791;4792;4793;5604;5606;57162;5970;7097;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;MAP2K1;NFKBIA;IRAK3;PELI1;RELA;TLR2;NFKBIB,OvarianCancer,2.358351442
R-HSA-166166,MyD88-independent TLR4 cascade,99,14,4.206798867,3.327946128,6.76E-05,0.004501923,1326;148022;3656;3665;4790;4791;4792;4793;5604;5606;5970;7323;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;IRF7;MAP2K1;NFKBIA;RELA;TICAM1;NFKBIB;UBE2D3,OvarianCancer,2.346601958
R-HSA-937061,TRIF(TICAM1)-mediated TLR4 signaling,99,14,4.206798867,3.327946128,6.76E-05,0.004501923,1326;148022;3656;3665;4790;4791;4792;4793;5604;5606;5970;7323;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;IRF7;MAP2K1;NFKBIA;RELA;TICAM1;NFKBIB;UBE2D3,OvarianCancer,2.346601958
R-HSA-2029481,FCGR activation,12,5,0.509915014,9.805555556,8.31E-05,0.005309797,2209;2212;2214;3055;4067,FCGR2A;LYN;FCGR1A;FCGR3A;HCK,OvarianCancer,2.274922079
R-HSA-5603029,IkBA variant leads to EDA-ID,7,4,0.297450425,13.44761905,0.000101144,0.005986226,4790;4791;4792;5970,NFKB2;NFKB1;NFKBIA;RELA,OvarianCancer,2.2228469
R-HSA-3134963,DEx/H-box helicases activate type I IFN and inflammatory cytokines production,7,4,0.297450425,13.44761905,0.000101144,0.005986226,3665;4790;4791;5970,NFKB2;NFKB1;IRF7;RELA,OvarianCancer,2.2228469
R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,20,6,0.849858357,7.06,0.000131208,0.007488239,148022;4790;4791;4792;4793;5970,NFKB2;NFKB1;NFKBIA;RELA;TICAM1;NFKBIB,OvarianCancer,2.125620311
R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,93,13,3.95184136,3.289605735,0.000138507,0.007632234,1326;148022;3656;4790;4791;4792;4793;5604;5606;57162;5970;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;MAP2K1;NFKBIA;PELI1;RELA;TICAM1;NFKBIB,OvarianCancer,2.117348326
R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,85,12,3.611898017,3.322352941,0.000226844,0.011328002,1326;3656;4790;4791;4792;4793;5604;5606;57162;5970;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;MAP2K1;NFKBIA;PELI1;RELA;NFKBIB,OvarianCancer,1.945846686
R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,85,12,3.611898017,3.322352941,0.000226844,0.011328002,1326;3656;4790;4791;4792;4793;5604;5606;57162;5970;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;MAP2K1;NFKBIA;PELI1;RELA;NFKBIB,OvarianCancer,1.945846686
R-HSA-975871,MyD88 cascade initiated on plasma membrane,85,12,3.611898017,3.322352941,0.000226844,0.011328002,1326;3656;4790;4791;4792;4793;5604;5606;57162;5970;7335;8767,UBE2V1;RIPK2;MAP3K8;IRAK2;NFKB2;MAP2K3;NFKB1;MAP2K1;NFKBIA;PELI1;RELA;NFKBIB,OvarianCancer,1.945846686
R-HSA-5260271,Diseases of Immune System,23,6,0.97733711,6.139130435,0.000306714,0.01441557,148022;4790;4791;4792;5970;7097,NFKB2;NFKB1;NFKBIA;RELA;TICAM1;TLR2,OvarianCancer,1.841168188
R-HSA-5602358,Diseases associated with the TLR signaling cascade,23,6,0.97733711,6.139130435,0.000306714,0.01441557,148022;4790;4791;4792;5970;7097,NFKB2;NFKB1;NFKBIA;RELA;TICAM1;TLR2,OvarianCancer,1.841168188
R-HSA-193639,p75NTR signals via NF-kB,16,5,0.679886686,7.354166667,0.000397964,0.018169902,4790;4792;5970;8767;8878,RIPK2;SQSTM1;NFKB1;NFKBIA;RELA,OvarianCancer,1.740647413
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,108,13,4.589235127,2.832716049,0.000619705,0.027508037,11006;126014;2209;2213;2214;29992;3383;3688;3689;3903;4267;54209;54210,ICAM1;TREM1;FCGR2B;PILRA;LILRB4;LAIR1;TREM2;FCGR1A;ITGB2;FCGR3A;OSCAR;ITGB1;CD99,OvarianCancer,1.560540404
R-HSA-446203,Asparagine N-linked glycosylation,215,20,9.135977337,2.189147287,0.000779705,0.033674826,10945;10956;1453;1604;2683;374;375;378;381;4245;5265;54187;5476;6184;6396;7415;81876;84617;84790;8775,TUBA1C;ARF5;AREG;CSNK1D;ARF1;ARF4;CTSA;CD55;NAPA;B4GALT1;MGAT1;VCP;RPN1;SERPINA1;KDELR1;RAB1B;NANS;TUBB6;OS9;SEC13,OvarianCancer,1.472694634
R-HSA-3560782,Diseases associated with glycosaminoglycan metabolism,28,6,1.1898017,5.042857143,0.000956529,0.040224546,2683;3073;3074;6383;6385;9060,SDC4;PAPSS2;B4GALT1;SDC2;HEXB;HEXA,OvarianCancer,1.395508852
R-HSA-948021,Transport to the Golgi and subsequent modification,143,15,6.076487252,2.468531469,0.001051065,0.043066716,10945;1453;1604;2683;374;375;378;381;4245;5265;6396;81876;84617;84790;8775,TUBA1C;ARF5;AREG;CSNK1D;ARF1;ARF4;CD55;NAPA;B4GALT1;MGAT1;SERPINA1;KDELR1;RAB1B;TUBB6;SEC13,OvarianCancer,1.365858242
R-HSA-73887,Death Receptor Signalling,129,14,5.481586402,2.554005168,0.001099913,0.043941528,10672;11214;396;4790;4792;5879;5970;7124;7128;7185;8767;8795;8837;8878,TNF;TRAF1;RIPK2;TNFAIP3;SQSTM1;NFKB1;AKAP13;RAC1;ARHGDIA;NFKBIA;CFLAR;RELA;TNFRSF10B;GNA13,OvarianCancer,1.357124849
R-HSA-69278,"Cell Cycle, Mitotic",469,147,20.3720491,7.215768981,0,0,10051;1017;1019;1029;1032;10376;10403;1058;10592;1062;1063;10714;10733;11004;11065;11130;113130;115106;1163;147841;1719;1763;1869;203068;2237;22974;22995;2305;23310;23397;23421;23649;26271;286826;29781;3012;3015;3161;332;348235;3619;3978;4001;4085;4171;4172;4173;4174;4175;4176;4605;51053;5111;51512;51529;51659;5347;5422;5424;5425;5427;54892;55055;55143;55166;55388;5557;5558;55835;55839;5683;5690;5696;5698;5702;57122;5721;5885;5928;5933;5982;5983;5984;5985;6117;6119;6241;64105;64151;64946;6790;699;701;7027;7083;7112;7153;7283;7298;7443;79023;79172;79980;81620;81930;8243;8318;8331;8335;8338;8340;8343;8345;8352;83540;8355;8356;8357;8358;8360;8361;8364;84131;84296;84515;8815;890;891;8968;8970;898;9088;9126;9133;9134;9212;9232;9493;9700;9735;9793;983;990;991;9918;994;995,RRM2;TUBB;TYMS;PKMYT1;ZWINT;UBE2C;CDCA5;BIRC5;TOP2A;CCNA2;CDT1;TK1;AURKB;GTSE1;TPX2;HIST1H2AJ;CKS1B;CDK1;CDCA8;SPC24;NCAPG;DHFR;FOXM1;MYBL2;MCM10;MCM7;KIF2C;CDC45;MAD2L1;HIST1H3B;TUBA1B;CCNB2;NUF2;FEN1;SMC2;CENPA;CENPF;NCAPH;CDC6;PCNA;HIST1H3C;GINS2;HMMR;PLK1;CDC20;KIF23;NCAPG2;FBXO5;NDC80;HIST1H3G;E2F1;SMC4;CENPE;MCM2;MCM3;LIG1;BUB1;CENPH;TMPO;CDC25C;MCM4;CENPN;RFC4;DNA2;HIST1H3F;TUBG1;CENPK;NCAPD2;PLK4;GMNN;CCNB1;BUB1B;HIST1H2BH;INCENP;RFC3;CENPO;RFC5;H2AFZ;DSN1;SKA2;POLE2;ITGB3BP;NCAPD3;HIST1H4C;MCM5;HIST1H2AB;CDK2;RPA3;HIST1H4F;ESPL1;POLD3;HIST1H4D;PSMB9;HAUS1;NCAPH2;VRK1;CENPQ;POLA2;CDC25B;RFC2;SMC3;POLD1;CCNE2;SMC1A;CDKN2A;KNTC1;POLA1;CDK4;CKAP5;LIN9;PTTG1;TFDP1;LMNB1;NUP37;HIST2H2AC;PRIM2;AURKA;PSMC3;ZWILCH;PSMB8;CCNE1;ANAPC11;CEP152;CENPJ;CDKN2D;GINS4;PRIM1;PSME2;RAD21;HIST1H3H;RBL1;BANF1;CEP78;HIST1H2BF;MCM8;HIST1H2AE;KIF18A;HIST1H2BJ;POLD2;MCM6;PSMA2;NUP107;PSMB2;RBBP4;HIST1H2BL;RPA1;HIST1H3J,EndometrialCarcinoma,14.13122424
R-HSA-194315,Signaling by Rho GTPases,402,68,17.46175637,3.89422453,0,0,10376;10403;1058;1062;1063;1072;11004;11113;11130;147841;1894;23421;29127;3012;3015;332;348235;3619;387;4085;5216;5347;55055;55143;55166;55789;55839;57122;60;64105;64946;699;701;71;7533;79023;79172;79980;808;81624;81930;8331;8335;8338;8340;8343;8345;8352;83540;8355;8356;8357;8358;8360;8361;8364;84986;8968;8970;89839;9055;9212;9735;9793;9824;991;9928;995,ZWINT;BIRC5;AURKB;HIST1H2AJ;CDCA8;SPC24;DIAPH3;KIF2C;MAD2L1;HIST1H3B;TUBA1B;NUF2;CENPA;CENPF;HIST1H3C;PLK1;CDC20;PRC1;NDC80;KIF14;DEPDC1B;HIST1H3G;CENPE;RACGAP1;BUB1;CIT;CENPH;CDC25C;CENPN;ECT2;HIST1H3F;CENPK;BUB1B;HIST1H2BH;INCENP;CENPO;H2AFZ;DSN1;SKA2;ARHGAP11A;ITGB3BP;HIST1H4C;HIST1H2AB;HIST1H4F;HIST1H4D;CENPQ;ARHGAP11B;CALM3;PFN1;KNTC1;CKAP5;ACTG1;NUP37;HIST2H2AC;ACTB;ZWILCH;CFL1;YWHAH;HIST1H3H;HIST1H2BF;HIST1H2AE;KIF18A;RHOA;HIST1H2BJ;ARHGAP19;NUP107;HIST1H2BL;HIST1H3J,EndometrialCarcinoma,14.13122424
